count,name,firm_id
4;ЛЮДМИЛА, учебный центр;141274360273455
4;RBT, оптово-розничный гипермаркет бытовой техники и электроники;141274360277905
4;ИДЕЯ вашего ремонта, сеть супермаркетов отделочных материалов;141274359659811
4;Айрис Оптика, сеть оптических салонов;141274359275869
4;ВТД & КОЛОРЛОН, торговый комплекс;141274359644882
4;Продуктовый магазин;141274360411536
4;Единство, сеть продуктовых магазинов;141274359976423
4;Миниквартал, сеть супермаркетов;141274359357001
4;СтеллажМастер, сеть магазинов бытовых стеллажей;141274360263969
4;КОМАНДОР, сеть фирменных салонов;141274359401418
4;Мицар-Сибирь, ООО, сеть продовольственных магазинов;141274359944409
4;А Байт, ООО, сеть ремонтно-выездных сервисных центров;141274359506194
4;Экспресс-пригород, ОАО;141274359268973
4;Т-Сервис, транспортно-логистическая компания;141274359850377
4;CORTO, магазин по продаже велосипедов;141274360450644
4;Управляющее предприятие, ООО;70000001020803001
4;Юпитер, сеть продуктовых магазинов;141274359726232
4;Уютерра, сеть супермаркетов;141274359328330
4;Мегас, сеть супермаркетов;141274359747606
4;Басон, торговый дом;141274359273577
4;MODIS, сеть гипермаркетов одежды для всей семьи;141274360328564
4;Эрнест, торговый дом;141274359270798
4;Сиб-Альянс, ООО, продовольственный магазин;141274359920654
4;КОНТИНЕНТ, торговый центр;141274359424952
4;Верные друзья, магазин товаров для животных;141274359792608
4;1001 снасть, магазин товаров для рыбалки и охоты;70000001021123337
4;Отличник, магазин канцелярских товаров;141274359916505
4;Tea Funny, компания по продаже коктейлей;141274360423400
4;АмурОпт, сеть цветочных салонов;141274360344896
4;16, торговый центр;141274359323612
4;Кнопка, сеть магазинов канцелярских товаров;141274359788597
4;Автодевайс, магазин;141275459695409
4;Паровозик, сеть центров детских товаров;141274359601927
4;Лимпопо, магазин канцелярских товаров и учебной литературы;141274359779914
4;Империя, ООО, продуктовый магазин;70000001006805083
4;ТУРИСТ-НСК, магазин;141275459450806
3;Магазин натуральных продуктов, ИП Глотов Е.Г.;70000001007474232
3;Пригородный простор, Ритейл-парк;70000001022278868
3;Капитал, ООО, супермаркет;141274359553316
3;Байт-Транзит-Экспедиция, ООО, транспортно-логистическая компания;141274359333235
3;АвелонСпорт, магазин;141275459429538
3;Торгтехника.РФ, сеть магазинов оборудования для магазинов и кафе;141274359426173
3;Сеть продуктовых магазинов, ИП Гроза О.М.;70000001020425755
3;Ластик, ООО, магазин канцелярских товаров;70000001006342120
3;ПродСиб, сеть продовольственных магазинов;141274359423395
3;ГРАФ, ЗАО, производственно-полиграфическая компания;141274359273792
3;Marina Yachting, бутик одежды;141274360381684
3;Магазин хозяйственных товаров, ИП Барсуков В.А.;141274359929667
3;Багира, сеть магазинов товаров для животных;141274359280007
3;Табакерия, магазин;70000001007250995
3;Регион ГлавДоставка, ООО, транспортно-экспедиционная компания;141274359765756
3;Магазин канцелярских товаров;141275459615435
3;Сибирская Орхидея, сеть цветочных салонов;141274359273375
3;ТД Плющихинский, ООО, супермаркет;141274359996228
3;Апельсин, магазин продуктов;141274360363562
3;Автомагазин автозапчастей для Mercedes-Benz, BMW, Audi;141274359477657
3;Школьник, сеть магазинов канцелярских товаров;141274359641589
3;Голубая Лагуна, сеть продуктовых магазинов;141274359634922
3;Автозумм Mazda, центр по продаже запчастей для Mazda, Ford;141274359850254
3;МОСТ, ООО, торговая компания;70000001006538791
3;Центральный, универсам;141275459531347
3;Тиккурила, студия красок;141274359751842
3;Посошок, ООО, сеть супермаркетов;141274359309053
3;Атлетика POWER SPORT, оптово-розничная сеть спортивных магазинов;141274359509509
3;Бьюти-Бум, магазин по продаже товаров для дизайна и наращивания ногтей, ресниц и волос;141274360251938
3;ПАПАйЯ, сеть салонов детских товаров;141274359321793
3;Маленькие радости, сеть магазинов швейной фурнитуры и товаров для рукоделия;141274359433493
3;Zooмаг, сеть магазинов товаров для животных;141274359664155
3;Табико, ООО, сеть продовольственных магазинов;141274359518428
3;Аникс, сеть супермаркетов;141274359696384
3;Hobby, сеть магазинов товаров для творчества и рукоделия;141274360008945
3;Charuel, магазин;141274359298553
3;Лайк Техно, магазин;141274359415119
3;Изюминка, универсам;141274360342658
3;Осень, ООО, продовольственный магазин;141274359836268
3;Магазин канцелярских товаров и копировальных услуг, ИП Антонов С.П.;70000001006690549
3;Баркомплект, сеть магазинов оборудования для предприятий общепита;141274360307468
3;Главное управление МВД России по Новосибирской области;141274359273133
3;Сибирские пуховые товары, производственно-торговая компания;141274359276413
3;Дом Спорта, магазин спортивных товаров;141274359700288
3;Первый Комиссионный, магазин;141275459468664
